Observed_Prevalence,Sensitivity,Specificity,Latent_Prevalence,Posterior_T1_if_Obs1,Posterior_T1_if_Obs0,N,Successful_Draws,ATE_Median,ATE_P2_5,ATE_P97_5,Label,Treatment,Outcome
0.14285714285714285,0.9,0.95,0.10924369747899146,0.6882352941176462,0.012745098039215667,2898,200,-350.9841509199747,-828.5647951043725,365.3120744858678,MO14→DV21,mo14_ai_automate_routine_tasks_pct,dv21_premature_death_ypll_rate
0.14285714285714285,0.95,0.95,0.10317460317460307,0.6861111111111104,0.006018518518518517,2898,200,-591.2074783970436,-933.4681088820131,-27.91008099406434,MO14→DV21,mo14_ai_automate_routine_tasks_pct,dv21_premature_death_ypll_rate
0.14285714285714285,0.95,0.98,0.13210445468509976,0.8784946236559135,0.00770609318996416,2898,200,-576.2257407209424,-945.045037026017,184.662400120382,MO14→DV21,mo14_ai_automate_routine_tasks_pct,dv21_premature_death_ypll_rate
0.2669198895027624,0.8,0.95,0.28922651933701654,0.8668564036222509,0.07890720678285443,2896,200,265.7811983666336,-292.5754682320861,1094.2229666161,MO21→CT5,mo21_robotics_in_hospital_pct,ct5_ypll_per_100k_mid
0.2669198895027624,0.85,0.95,0.2711498618784531,0.8634702457956017,0.05548162976919455,2896,200,222.0652823594407,-332.995903174498,1727.3051164328847,MO21→CT5,mo21_robotics_in_hospital_pct,ct5_ypll_per_100k_mid
0.2669198895027624,0.9,0.9,0.20864986187845297,0.7035252263906855,0.02846208195949127,2896,200,-81.63679552910205,-725.5159709533775,1091.0579254845475,MO21→CT5,mo21_robotics_in_hospital_pct,ct5_ypll_per_100k_mid
0.2669198895027624,0.9,0.95,0.2551998700032499,0.8604824594779698,0.03481200299243578,2896,200,97.0804491171348,-513.631256106862,1994.2561094939865,MO21→CT5,mo21_robotics_in_hospital_pct,ct5_ypll_per_100k_mid
0.2669198895027624,0.95,0.95,0.24102209944751382,0.8578266494178526,0.016439001413094696,2896,200,-171.76499918873304,-843.1742076666685,1322.3196797575672,MO21→CT5,mo21_robotics_in_hospital_pct,ct5_ypll_per_100k_mid
0.2669198895027624,0.95,0.98,0.2655052575298521,0.9449651546133624,0.018108884262987575,2896,200,-8.760186416568681,-761.8161402715991,2175.890633250628,MO21→CT5,mo21_robotics_in_hospital_pct,ct5_ypll_per_100k_mid
0.2669198895027624,0.8,0.95,0.28922651933701654,0.8668564036222509,0.07890720678285443,2896,200,14.345402122775804,-1.6056142206604662,46.459925957982,MO21→CT6,mo21_robotics_in_hospital_pct,ct6_hospital_deaths_age_adj
